old_fqcn,new_fqcn
Ecotone\Modelling\Attribute\TargetIdentifier,Ecotone\Api\Attribute\TargetIdentifier
Ecotone\Modelling\Attribute\TargetVersion,Ecotone\Api\Attribute\TargetVersion
Ecotone\Modelling\Attribute\Version,Ecotone\Api\Attribute\Version
Ecotone\Projecting\Attribute\PartitionAggregateId,Ecotone\Api\Projecting\PartitionAggregateId
Ecotone\Projecting\Attribute\PartitionAggregateType,Ecotone\Api\Projecting\PartitionAggregateType
Ecotone\Projecting\Attribute\Partitioned,Ecotone\Api\Projecting\Partitioned
Ecotone\Projecting\Attribute\PartitionProvider,Ecotone\Api\Projecting\PartitionProvider
Ecotone\Projecting\Attribute\Polling,Ecotone\Api\Attribute\Polling
Ecotone\Projecting\Attribute\ProjectionBackfill,Ecotone\Api\Projecting\ProjectionBackfill
Ecotone\Projecting\Attribute\ProjectionDeployment,Ecotone\Api\Projecting\ProjectionDeployment
Ecotone\Projecting\Attribute\ProjectionExecution,Ecotone\Api\Projecting\ProjectionExecution
Ecotone\Projecting\Attribute\ProjectionFlush,Ecotone\Api\Projecting\ProjectionFlush
Ecotone\Projecting\Attribute\ProjectionName,Ecotone\Api\Projecting\ProjectionName
Ecotone\Projecting\Attribute\ProjectionRebuild,Ecotone\Api\Projecting\ProjectionRebuild
Ecotone\Projecting\Attribute\ProjectionV2,Ecotone\Api\Projecting\Projection
Ecotone\Projecting\Attribute\StateStorage,Ecotone\Api\Projecting\StateStorage
Ecotone\Projecting\Attribute\Streaming,Ecotone\Api\Projecting\Streaming
Ecotone\Projecting\Attribute\StreamSource,Ecotone\Api\Projecting\StreamSource
Ecotone\EventSourcing\Attribute\AggregateType,Ecotone\Api\Attribute\AggregateType
Ecotone\EventSourcing\Attribute\FromAggregateStream,Ecotone\Api\Projecting\FromAggregateStream
Ecotone\EventSourcing\Attribute\FromStream,Ecotone\Api\Projecting\FromStream
Ecotone\EventSourcing\Attribute\ProjectionDelete,Ecotone\Api\Projecting\ProjectionDelete
Ecotone\EventSourcing\Attribute\ProjectionInitialization,Ecotone\Api\Projecting\ProjectionInitialization
Ecotone\EventSourcing\Attribute\ProjectionReset,Ecotone\Api\Projecting\ProjectionReset
Ecotone\EventSourcing\Attribute\ProjectionState,Ecotone\Api\Projecting\ProjectionState
Ecotone\EventSourcing\Attribute\ProjectionStateGateway,Ecotone\Api\Projecting\ProjectionStateGateway
Ecotone\Dbal\Attribute\DbalParameter,Ecotone\Api\Dbal\Attribute\DbalParameter
Ecotone\Dbal\Attribute\DbalQuery,Ecotone\Api\Dbal\Attribute\DbalQuery
Ecotone\Dbal\Attribute\DbalWrite,Ecotone\Api\Dbal\Attribute\DbalWrite
Ecotone\Dbal\Attribute\MultiTenantConnection,Ecotone\Api\Dbal\Attribute\MultiTenantConnection
Ecotone\Dbal\Attribute\MultiTenantObjectManager,Ecotone\Api\Dbal\Attribute\MultiTenantObjectManager
Ecotone\Dbal\Attribute\OnTenantActivation,Ecotone\Api\Dbal\Attribute\OnTenantActivation
Ecotone\Dbal\Attribute\OnTenantDeactivation,Ecotone\Api\Dbal\Attribute\OnTenantDeactivation
Ecotone\Dbal\Attribute\WithTenantResolver,Ecotone\Api\Dbal\Attribute\WithTenantResolver
Ecotone\Amqp\Attribute\RabbitConsumer,Ecotone\Api\Amqp\RabbitConsumer
Ecotone\Kafka\Attribute\KafkaConsumer,Ecotone\Api\Kafka\KafkaConsumer
Ecotone\EventSourcing\Attribute\Stream,Ecotone\Api\EventSourcing\Stream
Ecotone\DataProtection\Attribute\Sensitive,Ecotone\Api\DataProtection\Sensitive
Ecotone\DataProtection\Attribute\WithEncryptionKey,Ecotone\Api\DataProtection\WithEncryptionKey
Ecotone\Messaging\Config\ServiceConfiguration,Ecotone\Api\ExtensionObject\ServiceConfiguration
Ecotone\Messaging\Channel\SimpleMessageChannelBuilder,Ecotone\Api\ExtensionObject\SimpleMessageChannelBuilder
